schoolName,schoolId,yearId,Url,Url1,Url2,state,district,latitude,longitude
"JAWAHAR NAVODAYA VIDYALAYA SEONI, SEONI",3989059,12,https://kys.udiseplus.gov.in/#/reportcard/3989059/12,https://kys.udiseplus.gov.in/#/reportcard/3989059/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=3989059&yearId=10,MADHYA PRADESH,SEONI,22.2748109,79.7202522
"JAWAHAR NAVODAYA VIDYALAYA JABALPUR, JABALPUR",4019834,12,https://kys.udiseplus.gov.in/#/reportcard/4019834/12,https://kys.udiseplus.gov.in/#/reportcard/4019834/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4019834&yearId=10,MADHYA PRADESH,JABALPUR,23.1701522,79.9324505
"JAWAHAR NAVODAYA VIDYALAYA KARGIL, SANKOO",1011868,12,https://kys.udiseplus.gov.in/#/reportcard/1011868/12,https://kys.udiseplus.gov.in/#/reportcard/1011868/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=1011868&yearId=10,LADAKH,KARGIL,33.8028190,76.4730096
"JAWAHAR NAVODAYA VIDYALAYA LEH, LEH",1011227,12,https://kys.udiseplus.gov.in/#/reportcard/1011227/12,https://kys.udiseplus.gov.in/#/reportcard/1011227/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=1011227&yearId=10,LADAKH,LEH (LADAKH),34.1718527,77.5866776
"JAWAHAR NAVODAYA VIDYALAYA NALGONDA, PEDDAVOORA",5421631,12,https://kys.udiseplus.gov.in/#/reportcard/5421631/12,https://kys.udiseplus.gov.in/#/reportcard/5421631/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5421631&yearId=10,TELANGANA,NALGONDA,16.8579636,79.2174935
"JAWAHAR NAVODAYA VIDYALAYA WARANGAL, PENSIONPUR",5404676,12,https://kys.udiseplus.gov.in/#/reportcard/5404676/12,https://kys.udiseplus.gov.in/#/reportcard/5404676/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5404676&yearId=10,TELANGANA,WARANGAL,17.9820644,79.5970954
"JAWAHAR NAVODAYA VIDYALAYA KAMAREDDY, BANSWADA",5416191,12,https://kys.udiseplus.gov.in/#/reportcard/5416191/12,https://kys.udiseplus.gov.in/#/reportcard/5416191/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5416191&yearId=10,TELANGANA,KAMAREDDY,18.3165510,78.0539381
"JAWAHAR NAVODAYA VIDYALAYA KARIMANGAR, CHOPPADANDI",5436920,12,https://kys.udiseplus.gov.in/#/reportcard/5436920/12,https://kys.udiseplus.gov.in/#/reportcard/5436920/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5436920&yearId=10,TELANGANA,KARIMNAGAR,18.4348122,79.1328042
"JAWAHAR NAVODAYA VIDYALAYA MALAPPURAM, VENGARA",5006191,12,https://kys.udiseplus.gov.in/#/reportcard/5006191/12,https://kys.udiseplus.gov.in/#/reportcard/5006191/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5006191&yearId=10,KERALA,MALAPPURAM,11.1068448,76.1099551
"JAWAHAR NAVODAYA VIDYALAYA KOLLAM, KOTTARAKARA",5015080,12,https://kys.udiseplus.gov.in/#/reportcard/5015080/12,https://kys.udiseplus.gov.in/#/reportcard/5015080/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5015080&yearId=10,KERALA,KOLLAM,8.8870815,76.5907017
"JAWAHAR NAVODAYA VIDYALAYA KOZHIKODE, VADAKARA",5004047,12,https://kys.udiseplus.gov.in/#/reportcard/5004047/12,https://kys.udiseplus.gov.in/#/reportcard/5004047/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5004047&yearId=10,KERALA,KOZHIKODE,11.2450558,75.7754716
"JAWAHAR NAVODAYA VIDYALAYA KOTTAYAM, PALLOM",5011880,12,https://kys.udiseplus.gov.in/#/reportcard/5011880/12,https://kys.udiseplus.gov.in/#/reportcard/5011880/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5011880&yearId=10,KERALA,KOTTAYAM,9.6287383,76.6455326
"JAWAHAR NAVODAYA VIDYALAYA THRISSUR, PAZHAYANNUR",5008693,12,https://kys.udiseplus.gov.in/#/reportcard/5008693/12,https://kys.udiseplus.gov.in/#/reportcard/5008693/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5008693&yearId=10,KERALA,THRISSUR,10.5270099,76.2146210
"JAWAHAR NAVODAYA VIDYALAYA IDUKKI, IDUKKI",5010671,12,https://kys.udiseplus.gov.in/#/reportcard/5010671/12,https://kys.udiseplus.gov.in/#/reportcard/5010671/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5010671&yearId=10,KERALA,IDUKKI,9.8154785,76.9991599
"JAWAHAR NAVODAYA VIDYALAYA ALLEPPEY, MAVELIKARA",5013090,12,https://kys.udiseplus.gov.in/#/reportcard/5013090/12,https://kys.udiseplus.gov.in/#/reportcard/5013090/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5013090&yearId=10,KERALA,ALAPPUZHA,9.5006651,76.4124143
"JAWAHAR NAVODAYA VIDYALAYA PATHANAMTHITTA, RANNI",5014254,12,https://kys.udiseplus.gov.in/#/reportcard/5014254/12,https://kys.udiseplus.gov.in/#/reportcard/5014254/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5014254&yearId=10,KERALA,PATHANAMTHITTA,9.2780841,76.9737443
"JAWAHAR NAVODAYA VIDYALAYA ERNAKULAM, KOTHAMANGALAM",5009885,12,https://kys.udiseplus.gov.in/#/reportcard/5009885/12,https://kys.udiseplus.gov.in/#/reportcard/5009885/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5009885&yearId=10,KERALA,ERNAKULAM,9.9837257,76.2740001
"JAWAHAR NAVODAYA VIDYALAYA PALAKKAD, MALAMPUZHA",5007403,12,https://kys.udiseplus.gov.in/#/reportcard/5007403/12,https://kys.udiseplus.gov.in/#/reportcard/5007403/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5007403&yearId=10,KERALA,PALAKKAD,10.7873691,76.4742172
"JAWAHAR NAVODAYA VIDYALAYA KANNUR, PANOOR",5001430,12,https://kys.udiseplus.gov.in/#/reportcard/5001430/12,https://kys.udiseplus.gov.in/#/reportcard/5001430/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5001430&yearId=10,KERALA,KANNUR,11.8763836,75.3737973
"JAWAHAR NAVODAYA VIDYALAYA KASARAGOD, HOSDURG",5000519,12,https://kys.udiseplus.gov.in/#/reportcard/5000519/12,https://kys.udiseplus.gov.in/#/reportcard/5000519/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5000519&yearId=10,KERALA,KASARAGOD,12.4221964,75.1904446
"JAWAHAR NAVODAYA VIDYALAYA SOUTH GOA, CANACONA",4801457,12,https://kys.udiseplus.gov.in/#/reportcard/4801457/12,https://kys.udiseplus.gov.in/#/reportcard/4801457/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4801457&yearId=10,GOA,SOUTH GOA,15.2196240,74.1159085
"JAWAHAR NAVODAYA VIDYALAYA LAKSHADWEEP, ANDROTT",4900016,12,https://kys.udiseplus.gov.in/#/reportcard/4900016/12,https://kys.udiseplus.gov.in/#/reportcard/4900016/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4900016&yearId=10,LAKSHADWEEP,LAKSHADWEEP,10.8132489,73.6804621
"JAWAHAR NAVODAYA VIDYALAYA NORTH GOA, SATTARI",4800395,12,https://kys.udiseplus.gov.in/#/reportcard/4800395/12,https://kys.udiseplus.gov.in/#/reportcard/4800395/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=4800395&yearId=10,GOA,NORTH GOA,15.6044413,74.0017241
"JAWAHAR NAVODAYA VIDYALAYA MYSORE, MYSORE RURAL",5502368,12,https://kys.udiseplus.gov.in/#/reportcard/5502368/12,https://kys.udiseplus.gov.in/#/reportcard/5502368/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5502368&yearId=10,KARNATAKA,MYSURU,12.3041464,76.6529521
HPS JAWAHARNAVODAYAVIDYALAYA,5504553,11,https://kys.udiseplus.gov.in/#/reportcard/5504553/11,https://kys.udiseplus.gov.in/#/reportcard/5504553/11,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5504553&yearId=10,,,33.0052705,-79.9870330
"JAWAHAR NAVODAYA VIDYALAYA CHAMARAJANAGAR, CHAMARAJANAGARA",5504554,12,https://kys.udiseplus.gov.in/#/reportcard/5504554/12,https://kys.udiseplus.gov.in/#/reportcard/5504554/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5504554&yearId=10,KARNATAKA,CHAMARAJANAGARA,11.9238058,76.9393558
"JAWAHAR NAVODAYA VIDYALAYA BENGALURU URBAN, BANGALORE NORTH",5503353,12,https://kys.udiseplus.gov.in/#/reportcard/5503353/12,https://kys.udiseplus.gov.in/#/reportcard/5503353/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5503353&yearId=10,KARNATAKA,BENGALURU U NORTH,12.9767936,77.5900820
"JAWAHAR NAVODAYA VIDYALAYA BELAGAVI, CHIKODI",5509954,12,https://kys.udiseplus.gov.in/#/reportcard/5509954/12,https://kys.udiseplus.gov.in/#/reportcard/5509954/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5509954&yearId=10,KARNATAKA,BELAGAVI CHIKKODI,16.4249352,74.5744792
"JAWAHAR NAVODAYA VIDYALAYA THIRUVANATHAPURAM, VELLANAD",5016535,12,https://kys.udiseplus.gov.in/#/reportcard/5016535/12,https://kys.udiseplus.gov.in/#/reportcard/5016535/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5016535&yearId=10,KERALA,THIRUVANANTHAPURAM,8.4882267,76.9475510
"JAWAHAR NAVODAYA VIDYALAYA KODAGU, MADIKERI",5506648,12,https://kys.udiseplus.gov.in/#/reportcard/5506648/12,https://kys.udiseplus.gov.in/#/reportcard/5506648/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5506648&yearId=10,KARNATAKA,KODAGU,12.3827332,75.6640715
"JAWAHAR NAVODAYA VIDYALAYA DAKSHINA KANNADA, BANTWAL",5505214,12,https://kys.udiseplus.gov.in/#/reportcard/5505214/12,https://kys.udiseplus.gov.in/#/reportcard/5505214/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5505214&yearId=10,KARNATAKA,DAKSHINA KANNADA,12.8226433,75.2265036
"JAWAHAR NAVODAYA VIDYALAYA HASSAN, HOLENARASIPURA",5519303,12,https://kys.udiseplus.gov.in/#/reportcard/5519303/12,https://kys.udiseplus.gov.in/#/reportcard/5519303/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5519303&yearId=10,KARNATAKA,HASSAN,13.0301852,76.1744968
"JAWAHAR NAVODAYA VIDYALAYA CHIKKABALLAPURA, CHINTAMANI",5504495,12,https://kys.udiseplus.gov.in/#/reportcard/5504495/12,https://kys.udiseplus.gov.in/#/reportcard/5504495/12,https://kys.udiseplus.gov.in/api/school/report-card?schoolId=5504495&yearId=10,KARNATAKA,CHIKKABALLAPURA,13.5897941,77.7787930
